country,site,year,date,gear,inside_area,species,length_cm,count
Indonesia,Karimunjawa National Park,2003,9/13/03,Muroami,Inside,Caesio cuning,34.331,1
Indonesia,Karimunjawa National Park,2003,9/13/03,Muroami,Inside,Caesio cuning,24.399,1
Indonesia,Karimunjawa National Park,2003,9/13/03,Muroami,Inside,Caesio cuning,39.002,1
Indonesia,Karimunjawa National Park,2003,9/13/03,Muroami,Inside,Caesio cuning,23.842,1
Indonesia,Karimunjawa National Park,2003,9/13/03,Muroami,Inside,Caesio cuning,31.543,1
Indonesia,Karimunjawa National Park,2003,9/13/03,Muroami,Inside,Caesio cuning,20.918,1
Indonesia,Karimunjawa National Park,2003,9/13/03,Muroami,Inside,Caesio cuning,20.746,1
Indonesia,Karimunjawa National Park,2003,9/13/03,Muroami,Inside,Caesio cuning,20.215,1
Indonesia,Karimunjawa National Park,2003,9/13/03,Muroami,Inside,Caesio cuning,20.261,1
Indonesia,Karimunjawa National Park,2003,9/13/03,Muroami,Inside,Caesio cuning,20.537,1
Indonesia,Karimunjawa National Park,2003,9/13/03,Muroami,Inside,Caesio cuning,24.349,1
Indonesia,Karimunjawa National Park,2003,9/13/03,Muroami,Inside,Caesio cuning,21.219,1
