site,year,annual_trip_id,hours,permanent_trip_id,gear,inside_TURF,species,sampled_catch,total_catch
Test_FF_Site,2009,56,8,2009_56,Speargun,Inside,Caesio cuning,75.0,NA
Test_FF_Site,2009,56,8,2009_56,Speargun,Inside,Plectropomus areolatus,1.3,NA
Test_FF_Site,2009,56,8,2009_56,Speargun,Inside,Plectropomus maculatus,0.4,NA
Test_FF_Site,2009,56,8,2009_56,Speargun,Inside,Plectropomus leopardus,0.4,NA
Test_FF_Site,2009,56,8,2009_56,Speargun,Inside,Plectropomus oligacanthus,3.8,NA
Test_FF_Site,2009,56,8,2009_56,Speargun,Inside,Plectropomus oligacanthus,0.5,NA
Test_FF_Site,2009,56,8,2009_56,Speargun,Inside,Bolbometopon muricatum,7.2,NA
Test_FF_Site,2009,57,8,2009_57,Speargun,Inside,Sepia sp,2.0,27.9
Test_FF_Site,2009,57,8,2009_57,Speargun,Inside,Caesio cuning,22.0,NA
Test_FF_Site,2009,57,8,2009_57,Speargun,Inside,Plectropomus oligacanthus,1.1,NA
Test_FF_Site,2009,57,8,2009_57,Speargun,Inside,Plectropomus oligacanthus,0.5,NA
Test_FF_Site,2009,57,8,2009_57,Speargun,Inside,Epinephelus corallicola,1.8,NA
Test_FF_Site,2009,57,8,2009_57,Speargun,Inside,Anyperodon leucogrammicus,0.5,NA
Test_FF_Site,2009,58,8,2009_58,Speargun,Inside,Epinephelus bontoides,1.4,68.5
Test_FF_Site,2009,58,8,2009_58,Speargun,Inside,Plectropomus leopardus,2.5,NA
Test_FF_Site,2009,58,8,2009_58,Speargun,Inside,Plectropomus leopardus,2.5,NA
Test_FF_Site,2009,58,8,2009_58,Speargun,Inside,Plectropomus leopardus,2.0,NA
Test_FF_Site,2009,58,8,2009_58,Speargun,Inside,Plectropomus oligacanthus,0.6,NA
Test_FF_Site,2009,58,8,2009_58,Speargun,Inside,Plectropomus oligacanthus,1.0,NA
Test_FF_Site,2009,58,8,2009_58,Speargun,Inside,Anyperodon leucogrammicus,6.0,NA
Test_FF_Site,2009,58,8,2009_58,Speargun,Inside,Scarus ghobban,2.5,NA
Test_FF_Site,2009,58,8,2009_58,Speargun,Inside,Cephalopholis cyanostigma,2.0,NA
Test_FF_Site,2009,58,8,2009_58,Speargun,Inside,Caesio cuning,48.0,NA
Test_FF_Site,2009,59,8,2009_59,Handline,Inside,Plectropomus areolatus,1.5,1.5
Test_FF_Site,2009,60,8,2009_60,Handline,Inside,Scomberoides commersonnianus,8.5,10.7
Test_FF_Site,2009,60,8,2009_60,Handline,Inside,Lutjanus gibbus,0.7,NA
Test_FF_Site,2009,60,8,2009_60,Handline,Inside,Caranx ignobilis,1.5,NA
Test_FF_Site,2009,61,8,2009_61,Handline,Inside,Scomberomorus commerson,5.5,5.5
Test_FF_Site,2009,62,8,2009_62,Handline,Inside,Plectropomus oligacanthus,1.2,1.2
Test_FF_Site,2009,62,8,2009_62,Handline,Inside,Plectropomus maculatus,1.2,2.2
Test_FF_Site,2009,62,8,2009_62,Handline,Inside,Plectropomus maculatus,1.0,NA
Test_FF_Site,2009,63,8,2009_63,Handline,Inside,Plectropomus maculatus,0.9,1.3
Test_FF_Site,2009,63,8,2009_63,Handline,Inside,Epinephelus areolatus,0.4,NA
Test_FF_Site,2009,64,8,2009_64,Handline,Outside,Plectropomus oligacanthus,72.5,119.9
Test_FF_Site,2009,64,8,2009_64,Handline,Outside,Plectropomus oligacanthus,4.7,NA
Test_FF_Site,2009,64,8,2009_64,Handline,Outside,Plectropomus oligacanthus,6.2,NA
Test_FF_Site,2009,64,8,2009_64,Handline,Outside,Epinephelus coioides,14.5,NA
Test_FF_Site,2009,64,8,2009_64,Handline,Outside,Thunus tonggol,21.0,NA
Test_FF_Site,2009,64,8,2009_64,Handline,Outside,Lutjanus gibbus,1.0,NA
Test_FF_Site,2009,65,8,2009_65,Handline,Inside,Plectropomus maculatus,3.2,3.2
Test_FF_Site,2009,66,8,2009_66,Handline,Outside,Plectropomus leopardus,0.4,5
Test_FF_Site,2009,66,8,2009_66,Handline,Outside,Epinephelus fuscoguttatus,1.0,NA
Test_FF_Site,2009,66,8,2009_66,Handline,Outside,Plectropomus areolatus,3.6,NA
Test_FF_Site,2009,68,8,2009_68,Speargun,Inside,Caesio cuning,107.0,168.5
Test_FF_Site,2009,68,8,2009_68,Speargun,Inside,Plectropomus areolatus,57.0,NA
Test_FF_Site,2009,68,8,2009_68,Speargun,Inside,Plectropomus leopardus,1.5,NA
Test_FF_Site,2009,68,8,2009_68,Speargun,Inside,Epinephelus ongus,3.0,NA
Test_FF_Site,2009,69,8,2009_69,Speargun,Outside,Plectropomus oligacanthus,3.4,73
Test_FF_Site,2009,69,8,2009_69,Speargun,Outside,Plectropomus oligacanthus,0.9,NA
Test_FF_Site,2009,69,8,2009_69,Speargun,Outside,Plectropomus leopardus,2.2,73
Test_FF_Site,2009,69,8,2009_69,Speargun,Outside,Plectropomus leopardus,0.7,NA
Test_FF_Site,2009,69,8,2009_69,Speargun,Outside,Plectropomus leopardus,1.4,NA
Test_FF_Site,2009,69,8,2009_69,Speargun,Outside,Plectropomus areolatus,11.4,NA
Test_FF_Site,2009,69,8,2009_69,Speargun,Outside,Caesio cuning,5.0,NA
Test_FF_Site,2009,69,8,2009_69,Speargun,Outside,Caesio cuning,48.0,NA
Test_FF_Site,2009,70,8,2009_70,Speargun,Inside,Caesio cuning,74.0,194.7
