country,site,year,date,gear,inside_area,species,length_cm
Indonesia,Karimunjawa National Park,2003,9/10/03,Muroami,Inside,Caesio cuning,23.313
Indonesia,Karimunjawa National Park,2003,9/10/03,Muroami,Inside,Caesio cuning,21.562
Indonesia,Karimunjawa National Park,2003,9/13/03,Muroami,Inside,Caesio cuning,32.644
Indonesia,Karimunjawa National Park,2003,9/13/03,Muroami,Inside,Caesio cuning,26.079
Indonesia,Karimunjawa National Park,2003,9/13/03,Muroami,Inside,Caesio cuning,28.644
Indonesia,Karimunjawa National Park,2003,9/13/03,Muroami,Inside,Caesio cuning,33.8
Indonesia,Karimunjawa National Park,2003,9/13/03,Muroami,Inside,Caesio cuning,27.769
Indonesia,Karimunjawa National Park,2003,9/13/03,Muroami,Inside,Caesio cuning,33.805
Indonesia,Karimunjawa National Park,2003,9/13/03,Muroami,Inside,Caesio cuning,37.658
Indonesia,Karimunjawa National Park,2003,9/13/03,Muroami,Inside,Caesio cuning,36.455
Indonesia,Karimunjawa National Park,2003,9/13/03,Muroami,Inside,Caesio cuning,24.602
Indonesia,Karimunjawa National Park,2003,9/13/03,Muroami,Inside,Caesio cuning,36.186
Indonesia,Karimunjawa National Park,2003,9/13/03,Muroami,Inside,Caesio cuning,24.602
Indonesia,Karimunjawa National Park,2003,9/13/03,Muroami,Inside,Caesio cuning,28.751
Indonesia,Karimunjawa National Park,2003,9/13/03,Muroami,Inside,Caesio cuning,33.533
Indonesia,Karimunjawa National Park,2003,9/13/03,Muroami,Inside,Caesio cuning,35.189
Indonesia,Karimunjawa National Park,2003,9/13/03,Muroami,Inside,Caesio cuning,31.331
Indonesia,Karimunjawa National Park,2003,9/13/03,Muroami,Inside,Caesio cuning,26.401
Indonesia,Karimunjawa National Park,2003,9/13/03,Muroami,Inside,Caesio cuning,24.366
Indonesia,Karimunjawa National Park,2003,9/13/03,Muroami,Inside,Caesio cuning,34.424
Indonesia,Karimunjawa National Park,2003,9/13/03,Muroami,Inside,Caesio cuning,33.352
Indonesia,Karimunjawa National Park,2003,9/13/03,Muroami,Inside,Caesio cuning,32.521
Indonesia,Karimunjawa National Park,2003,9/13/03,Muroami,Inside,Caesio cuning,33.775
Indonesia,Karimunjawa National Park,2003,9/13/03,Muroami,Inside,Caesio cuning,34.375
Indonesia,Karimunjawa National Park,2003,9/13/03,Muroami,Inside,Caesio cuning,34.118
Indonesia,Karimunjawa National Park,2003,9/13/03,Muroami,Inside,Caesio cuning,25.714
Indonesia,Karimunjawa National Park,2003,9/13/03,Muroami,Inside,Caesio cuning,34.952
Indonesia,Karimunjawa National Park,2003,9/13/03,Muroami,Inside,Caesio cuning,33.053
Indonesia,Karimunjawa National Park,2003,9/13/03,Muroami,Inside,Caesio cuning,25.46
Indonesia,Karimunjawa National Park,2003,9/13/03,Muroami,Inside,Caesio cuning,31.53
Indonesia,Karimunjawa National Park,2003,9/13/03,Muroami,Inside,Caesio cuning,28.609
Indonesia,Karimunjawa National Park,2003,9/13/03,Muroami,Inside,Caesio cuning,32.121
Indonesia,Karimunjawa National Park,2003,9/13/03,Muroami,Inside,Caesio cuning,31.216
Indonesia,Karimunjawa National Park,2003,9/13/03,Muroami,Inside,Caesio cuning,31.229
Indonesia,Karimunjawa National Park,2003,9/13/03,Muroami,Inside,Caesio cuning,34.331
Indonesia,Karimunjawa National Park,2003,9/13/03,Muroami,Inside,Caesio cuning,24.399
Indonesia,Karimunjawa National Park,2003,9/13/03,Muroami,Inside,Caesio cuning,39.002
Indonesia,Karimunjawa National Park,2003,9/13/03,Muroami,Inside,Caesio cuning,23.842
Indonesia,Karimunjawa National Park,2003,9/13/03,Muroami,Inside,Caesio cuning,31.543
Indonesia,Karimunjawa National Park,2003,9/13/03,Muroami,Inside,Caesio cuning,20.918
Indonesia,Karimunjawa National Park,2003,9/13/03,Muroami,Inside,Caesio cuning,20.746
Indonesia,Karimunjawa National Park,2003,9/13/03,Muroami,Inside,Caesio cuning,20.215
Indonesia,Karimunjawa National Park,2003,9/13/03,Muroami,Inside,Caesio cuning,20.261
Indonesia,Karimunjawa National Park,2003,9/13/03,Muroami,Inside,Caesio cuning,20.537
Indonesia,Karimunjawa National Park,2003,9/13/03,Muroami,Inside,Caesio cuning,24.349
Indonesia,Karimunjawa National Park,2003,9/13/03,Muroami,Inside,Caesio cuning,21.219
Indonesia,Karimunjawa National Park,2003,9/13/03,Muroami,Inside,Caesio cuning,18.342
Indonesia,Karimunjawa National Park,2003,9/13/03,Muroami,Inside,Caesio cuning,15.417
Indonesia,Karimunjawa National Park,2003,9/13/03,Muroami,Inside,Caesio cuning,23.244
Indonesia,Karimunjawa National Park,2003,9/15/03,Muroami,Inside,Caesio cuning,20.918
Indonesia,Karimunjawa National Park,2003,9/15/03,Muroami,Inside,Caesio cuning,20.215
Indonesia,Karimunjawa National Park,2003,9/15/03,Muroami,Inside,Caesio cuning,20.537
Indonesia,Karimunjawa National Park,2003,9/15/03,Muroami,Inside,Caesio cuning,24.349
Indonesia,Karimunjawa National Park,2003,9/15/03,Muroami,Inside,Caesio cuning,21.219
Indonesia,Karimunjawa National Park,2003,9/15/03,Muroami,Inside,Caesio cuning,18.342
Indonesia,Karimunjawa National Park,2003,9/15/03,Muroami,Inside,Caesio cuning,15.417
Indonesia,Karimunjawa National Park,2003,9/18/03,Muroami,Inside,Caesio cuning,31.179
Indonesia,Karimunjawa National Park,2003,9/18/03,Muroami,Inside,Caesio cuning,26.782
